monstera,salon,2026-03-01,7,medium
cactus,bedroom,2026-03-10,30,low
fern,bathroom,2026-03-15,3,high
orchid,kitchen,2026-03-20,5,medium
pothos,office,2026-03-05,10,low
snake_plant,bedroom,2026-03-12,14,low
peace_lily,salon,2026-03-18,7,medium
aloe_vera,balcony,2026-03-08,21,low
spider_plant,kitchen,2026-03-22,7,medium
boston_fern,bathroom,2026-03-11,3,high
rubber_plant,office,2026-03-14,10,medium
lavender,balcony,2026-03-09,5,medium
bamboo,salon,2026-03-17,2,high
jade_plant,bedroom,2026-03-06,14,low
basil,kitchen,2026-03-23,2,high
